,Unnamed: 0,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,DateTime,gage_height_m,discharge_cms
138,,,,142,12/24/1953,,,,,18.31,23000,,,,,,,,,,,,,,,,,,,,,,,1953-12-24 00:00:00,5.580888,651.2874716160001
139,,,,143,1/26/1954,,,,,14.93,14300,,,,,,,,,,,,,,,,,,,,,,,1954-01-26 00:00:00,4.550664,404.9309062656001
140,,,,144,3/24/1954,,,,,14.57,13500,,,,,,,,,,,,,,,,,,,,,,,1954-03-24 00:00:00,4.440936000000001,382.27742899200007
141,,,,145,4/4/1954,,,,,15.61,16000,,,,,,,,,,,,,,,,,,,,,,,1954-04-04 00:00:00,4.757928,453.0695454720001
142,,,,146,5/6/1954,,,,,15.02,14900,,,,,,,,,,,,,,,,,,,,,,,1954-05-06 00:00:00,4.578096,421.9210142208001
143,,,,147,6/7/1954,,,,,17.95,21700,,,,,,,,,,,,,,,,,,,,,,,1954-06-07 00:00:00,5.47116,614.4755710464001
144,,,,148,7/20/1954,,,,,22.13,35300,,,,,,,,,,,,,,,,,,,,,,,1954-07-20 00:00:00,6.745224,999.5846846976001
145,,,,149,8/20/1954,,,,,16.61,18400,,,,,,,,,,,,,,,,,,,,,,,1954-08-20 00:00:00,5.062728,521.0299772928
146,,,,150,9/25/1954,,,,,14.5,12600,,,,,,,,,,,,,,,,,,,,,,,1954-09-25 00:00:00,4.4196,356.79226705920007
147,,,,151,10/28/1954,,,,,14.22,12600,,,,,,,,,,,,,,,,,,,,,,,1954-10-28 00:00:00,4.334256000000001,356.79226705920007
148,,,,152,12/8/1954,,,,,15.22,14500,,,,,,,,,,,,,,,,,,,,,,,1954-12-08 00:00:00,4.639056,410.59427558400006
149,,,,153,1/14/1955,,,,,14.47,13700,,,,,,,,,,,,,,,,,,,,,,,1955-01-14 00:00:00,4.410456000000001,387.94079831040006
150,,,,154,2/21/1955,,,,,12.72,9350,,,,,,,,,,,,,,,,,,,,,,,1955-02-21 00:00:00,3.8770560000000005,264.76251563520003
151,,,,155,4/13/1955,,,,,16.4,18000,,,,,,,,,,,,,,,,,,,,,,,1955-04-13 00:00:00,4.99872,509.70323865600005
152,,,,156,5/20/1955,,,,,22.02,35800,,,,,,,,,,,,,,,,,,,,,,,1955-05-20 00:00:00,6.711696,1013.7431079936001
153,,,,157,6/23/1955,,,,,23.98,43200,,,,,,,,,,,,,,,,,,,,,,,1955-06-23 00:00:00,7.3091040000000005,1223.2877727744
154,,,,158,7/25/1955,,,,,20.26,29800,,,,,,,,,,,,,,,,,,,,,,,1955-07-25 00:00:00,6.175248000000001,843.8420284416002
155,,,,159,8/29/1955,,,,,11.93,7760,,,,,,,,,,,,,,,,,,,,,,,1955-08-29 00:00:00,3.636264,219.73872955392002
156,,,,160,10/10/1955,,,,,15.98,18000,,,,,,,,,,,,,,,,,,,,,,,1955-10-10 00:00:00,4.870704000000001,509.70323865600005
157,,,,161,11/24/1955,,,,,14.04,13400,,,,,,,,,,,,,,,,,,,,,,,1955-11-24 00:00:00,4.279392,379.4457443328001
158,,,,162,1/9/1956,,,,,14.48,14300,,,,,,,,,,,,,,,,,,,,,,,1956-01-09 00:00:00,4.4135040000000005,404.9309062656001
159,,,,163,2/24/1956,,,,,12.5,9870,,,,,,,,,,,,,,,,,,,,,,,1956-02-24 00:00:00,3.81,279.48727586304005
160,,,,164,4/6/1956,,,,,13.44,12400,,,,,,,,,,,,,,,,,,,,,,,1956-04-06 00:00:00,4.096512,351.1288977408
161,,,,165,5/13/1956,,,,,17.17,21900,,,,,,,,,,,,,,,,,,,,,,,1956-05-13 00:00:00,5.233416000000001,620.1389403648001
162,,,,166,6/21/1956,,,,,21.06,33500,,,,,,,,,,,,,,,,,,,,,,,1956-06-21 00:00:00,6.419088,948.6143608320001
163,,,,167,8/10/1956,,,,,13.82,12600,,,,,,,,,,,,,,,,,,,,,,,1956-08-10 00:00:00,4.2123360000000005,356.79226705920007
164,,,,168,9/27/1956,,,,,17.15,21600,,,,,,,,,,,,,,,,,,,,,,,1956-09-27 00:00:00,5.22732,611.6438863872
165,,,,170,12/26/1956,,,,,16.32,19200,,,,,,,,,,,,,,,,,,,,,,,1956-12-26 00:00:00,4.974336,543.6834545664001
166,,,,171,3/11/1957,,,,,15.27,16300,,,,,,,,,,,,,,,,,,,,,,,1957-03-11 00:00:00,4.654296,461.56459944960005
167,,,,172,4/19/1957,,,,,15.36,16400,,,,,,,,,,,,,,,,,,,,,,,1957-04-19 00:00:00,4.681728,464.39628410880005
168,,,,173,5/27/1957,,,,,17.6,21500,,,,,,,,,,,,,,,,,,,,,,,1957-05-27 00:00:00,5.36448,608.8122017280001
169,,,,174,7/1/1957,,,,,14.64,14300,,,,,,,,,,,,,,,,,,,,,,,1957-07-01 00:00:00,4.4622720000000005,404.9309062656001
170,,,,175,8/15/1957,,,,,11.82,7270,,,,,,,,,,,,,,,,,,,,,,,1957-08-15 00:00:00,3.602736,205.86347472384003
