agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,DateTime,gage_height_m,discharge_cms
,,158,7/25/1955,,,,,20.26,29800,,,,,,,,,,,,,,,,,,,,,,,7/25/1955 0:00,6.175248,843.8420284
,,159,8/29/1955,,,,,11.93,7760,,,,,,,,,,,,,,,,,,,,,,,8/29/1955 0:00,3.636264,219.7387296
,,160,10/10/1955,,,,,15.98,18000,,,,,,,,,,,,,,,,,,,,,,,10/10/1955 0:00,4.870704,509.7032387
,,161,11/24/1955,,,,,14.04,13400,,,,,,,,,,,,,,,,,,,,,,,11/24/1955 0:00,4.279392,379.4457443
,,162,1/9/1956,,,,,14.48,14300,,,,,,,,,,,,,,,,,,,,,,,1/9/1956 0:00,4.413504,404.9309063
,,163,2/24/1956,,,,,12.5,9870,,,,,,,,,,,,,,,,,,,,,,,2/24/1956 0:00,3.81,279.4872759
,,164,4/6/1956,,,,,13.44,12400,,,,,,,,,,,,,,,,,,,,,,,4/6/1956 0:00,4.096512,351.1288977
,,165,5/13/1956,,,,,17.17,21900,,,,,,,,,,,,,,,,,,,,,,,5/13/1956 0:00,5.233416,620.1389404
,,166,6/21/1956,,,,,21.06,33500,,,,,,,,,,,,,,,,,,,,,,,6/21/1956 0:00,6.419088,948.6143608
,,167,8/10/1956,,,,,13.82,12600,,,,,,,,,,,,,,,,,,,,,,,8/10/1956 0:00,4.212336,356.7922671
,,168,9/27/1956,,,,,17.15,21600,,,,,,,,,,,,,,,,,,,,,,,9/27/1956 0:00,5.22732,611.6438864
,,170,12/26/1956,,,,,16.32,19200,,,,,,,,,,,,,,,,,,,,,,,12/26/1956 0:00,4.974336,543.6834546
,,171,3/11/1957,,,,,15.27,16300,,,,,,,,,,,,,,,,,,,,,,,3/11/1957 0:00,4.654296,461.5645994
,,172,4/19/1957,,,,,15.36,16400,,,,,,,,,,,,,,,,,,,,,,,4/19/1957 0:00,4.681728,464.3962841
,,173,5/27/1957,,,,,17.6,21500,,,,,,,,,,,,,,,,,,,,,,,5/27/1957 0:00,5.36448,608.8122017
,,174,7/1/1957,,,,,14.64,14300,,,,,,,,,,,,,,,,,,,,,,,7/1/1957 0:00,4.462272,404.9309063
,,175,8/15/1957,,,,,11.82,7270,,,,,,,,,,,,,,,,,,,,,,,8/15/1957 0:00,3.602736,205.8634747
,,176,9/23/1957,,,,,10.28,5060,,,,,,,,,,,,,,,,,,,,,,,9/23/1957 0:00,3.133344,143.2832438
,,177,11/16/1957,,,,,13.79,12400,,,,,,,,,,,,,,,,,,,,,,,11/16/1957 0:00,4.203192,351.1288977
,,178,12/19/1957,,,,,13.7,12600,,,,,,,,,,,,,,,,,,,,,,,12/19/1957 0:00,4.17576,356.7922671
,,179,2/6/1958,,,,,14.1,12800,,,,,,,,,,,,,,,,,,,,,,,2/6/1958 0:00,4.29768,362.4556364
,,180,3/14/1958,,,,,12.97,10100,,,,,,,,,,,,,,,,,,,,,,,3/14/1958 0:00,3.953256,286.0001506
,,181,4/18/1958,,,,,14.85,14300,,,,,,,,,,,,,,,,,,,,,,,4/18/1958 0:00,4.52628,404.9309063
,,182,6/6/1958,,,,,19.26,27900,,,,,,,,,,,,,,,,,,,,,,,6/6/1958 0:00,5.870448,790.0400199
,,183,7/15/1958,,,,,13.54,11500,,,,,,,,,,,,,,,,,,,,,,,7/15/1958 0:00,4.126992,325.6437358
,,184,8/29/1958,,,,,11.62,6560,,,,,,,,,,,,,,,,,,,,,,,8/29/1958 0:00,3.541776,185.7585136
,,185,10/10/1958,,,,,17.2,20800,,,,,,,,,,,,,,,,,,,,,,,10/10/1958 0:00,5.24256,588.9904091
,,186,11/14/1958,,,,,20.27,29000,,,,,,,,,,,,,,,,,,,,,,,11/14/1958 0:00,6.178296,821.1885512
,,187,12/31/1958,,,,,18.98,26000,,,,,,,,,,,,,,,,,,,,,,,12/31/1958 0:00,5.785104,736.2380114
,,188,1/30/1959,,,,,16.92,19600,,,,,,,,,,,,,,,,,,,,,,,1/30/1959 0:00,5.157216,555.0101932
,,189,3/6/1959,,,,,14.67,13900,,,,,,,,,,,,,,,,,,,,,,,3/6/1959 0:00,4.471416,393.6041676
,,190,4/8/1959,,,,,15.86,17400,,,,,,,,,,,,,,,,,,,,,,,4/8/1959 0:00,4.834128,492.7131307
,,191,5/15/1959,,,,,20.48,31200,,,,,,,,,,,,,,,,,,,,,,,5/15/1959 0:00,6.242304,883.4856137
,,192,6/22/1959,,,,,20.73,32100,,,,,,,,,,,,,,,,,,,,,,,6/22/1959 0:00,6.318504,908.9707756
,,193,7/24/1959,,,,,18.22,25100,,,,,,,,,,,,,,,,,,,,,,,7/24/1959 0:00,5.553456,710.7528495
USGS,12200500,194,8/29/1959,,Yes,JRW,USGS,14.69,14400,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,14400,610,4890,2.94,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,8/29/1959 0:00,4.477512,407.7625909
USGS,12200500,195,10/2/1959,,Yes,JRW,USGS,14.39,13700,Good,,,Unspecifed,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,13700,610,4860,2.82,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,10/2/1959 0:00,4.386072,387.9407983
